date,item_id,total_sales,total_units_ordered
02-06-2025,64,3531.43,37
02-06-2025,65,1523.04,12
02-06-2025,66,672,4
02-06-2025,134,159.99,1
02-06-2025,136,0,0
02-06-2025,137,592,4
02-06-2025,139,218,1
02-06-2025,141,178,1
02-06-2025,142,256,2
02-06-2025,145,0,0
02-06-2025,146,0,0
02-06-2025,147,316,2
02-06-2025,148,0,0
02-06-2025,149,0,0
02-06-2025,150,95.99,1
02-06-2025,154,695,5
02-06-2025,160,198,1
02-06-2025,161,3897.8,55
02-06-2025,164,0,0
02-06-2025,169,0,0
02-06-2025,252,0,0
02-06-2025,253,221.26,1
02-06-2025,264,0,0
03-06-2025,0,657,3
03-06-2025,1,199.99,1
03-06-2025,3,169,1
03-06-2025,4,199,1
03-06-2025,7,185.99,1
03-06-2025,9,219,1
03-06-2025,12,178,1
03-06-2025,15,11008,86
03-06-2025,17,4245.79,52
03-06-2025,18,1591.26,19
03-06-2025,19,118,1
03-06-2025,20,395.92,4
03-06-2025,21,6300.14,78
03-06-2025,22,1115.91,9
03-06-2025,23,1287.96,5
03-06-2025,24,596,2
03-06-2025,25,149,1
03-06-2025,26,1755.05,12
03-06-2025,27,7022.01,44
03-06-2025,28,3456,27
03-06-2025,29,1193.6,12
03-06-2025,31,195.45,1
03-06-2025,32,0,0
03-06-2025,33,542.42,2
03-06-2025,34,416,2
03-06-2025,39,0,0
03-06-2025,44,175,1
03-06-2025,48,854.97,3
03-06-2025,54,175.99,1
03-06-2025,58,65,1
03-06-2025,59,0,0
03-06-2025,61,239.99,1
03-06-2025,62,511.96,4
03-06-2025,64,2652.84,28
03-06-2025,65,1408,11
03-06-2025,66,168,1
03-06-2025,134,0,0
03-06-2025,137,0,0
03-06-2025,139,0,0
03-06-2025,141,0,0
03-06-2025,142,128,1
03-06-2025,145,328,1
03-06-2025,147,158,1
03-06-2025,148,108.99,1
03-06-2025,150,767.92,8
03-06-2025,151,148,1
03-06-2025,154,0,0
03-06-2025,160,0,0
03-06-2025,161,7657,118
03-06-2025,176,218,1
03-06-2025,253,0,0
03-06-2025,254,172.54,1
03-06-2025,264,168,1
04-06-2025,0,0,0
04-06-2025,1,0,0
04-06-2025,3,0,0
04-06-2025,4,199,1
04-06-2025,9,0,0
04-06-2025,12,0,0
04-06-2025,13,0,0
04-06-2025,15,13440,105
04-06-2025,17,3415.88,42
04-06-2025,18,959.79,11
04-06-2025,19,0,0
04-06-2025,20,-98.98,-1
04-06-2025,21,437.64,7
04-06-2025,22,771.96,6
04-06-2025,23,2052,9
04-06-2025,24,1192,4
04-06-2025,25,178,1
04-06-2025,26,1755.05,12
04-06-2025,27,7519.53,47
04-06-2025,28,3840,30
04-06-2025,29,1799.82,18
04-06-2025,31,0,0
04-06-2025,32,594,3
04-06-2025,33,271.21,1
04-06-2025,38,94,1
04-06-2025,44,0,0
04-06-2025,48,0,0
04-06-2025,51,0,0
04-06-2025,54,351.98,2
04-06-2025,58,-65,-1
04-06-2025,59,0,0
04-06-2025,62,-127.99,-1
04-06-2025,64,3301.64,35
04-06-2025,65,768,6
04-06-2025,66,168,1
04-06-2025,133,243.99,1
04-06-2025,134,159.99,1
04-06-2025,137,0,0
04-06-2025,141,890,5
04-06-2025,142,128,1
04-06-2025,144,152.99,1
04-06-2025,148,108.99,1
04-06-2025,150,561.58,6
04-06-2025,151,0,0
04-06-2025,154,128,1
04-06-2025,160,198,1
04-06-2025,161,8536.96,132
04-06-2025,176,0,0
04-06-2025,258,463.62,3
04-06-2025,265,258,1
05-06-2025,0,1095,5
05-06-2025,3,507,3
05-06-2025,4,199,1
05-06-2025,7,676.34,4
05-06-2025,12,712,4
05-06-2025,15,10880,85
05-06-2025,17,7191.4,95
05-06-2025,18,1951.03,23
05-06-2025,21,-163.97,-1
05-06-2025,22,602.97,4
05-06-2025,23,1140,5
05-06-2025,24,2980,10
05-06-2025,25,137.22,1
05-06-2025,26,1184,8
05-06-2025,27,7679.52,48
05-06-2025,28,1077.25,5
05-06-2025,29,3660.43,37
05-06-2025,31,195.45,1
05-06-2025,32,198,1
05-06-2025,34,208,1
05-06-2025,45,154,1
05-06-2025,49,198,1
05-06-2025,54,0,0
05-06-2025,58,65,1
05-06-2025,59,65,1
05-06-2025,62,0,0
05-06-2025,64,2161.03,23
05-06-2025,65,930.74,7
05-06-2025,66,0,0
05-06-2025,83,47.35,1
05-06-2025,134,-159.99,-1
05-06-2025,137,296,2
05-06-2025,141,0,0
05-06-2025,142,0,0
05-06-2025,143,329.99,1
05-06-2025,144,152.99,1
05-06-2025,146,177.06,1
05-06-2025,148,566.34,6
05-06-2025,149,211.99,1
05-06-2025,150,671.93,7
05-06-2025,160,0,0
05-06-2025,161,10462.92,161
05-06-2025,258,0,0
05-06-2025,265,258,1
05-06-2025,266,218,1
06-06-2025,0,438,2
06-06-2025,1,249.99,1
06-06-2025,3,777.8,5
06-06-2025,4,398,2
06-06-2025,7,185.99,1
06-06-2025,12,0,0
06-06-2025,13,263.98,2
06-06-2025,14,433.33,1
06-06-2025,15,5369.4,42
06-06-2025,17,4098.93,54
06-06-2025,18,619.87,7
06-06-2025,19,118,1
06-06-2025,21,234.32,3
06-06-2025,22,1242,9
06-06-2025,23,2052,9
06-06-2025,24,1490,5
06-06-2025,25,178,1
06-06-2025,26,1332,9
06-06-2025,27,7804.41,49
06-06-2025,28,3584,28
06-06-2025,29,2999.7,30
06-06-2025,31,195.45,1
06-06-2025,32,396,2
06-06-2025,38,94,1
06-06-2025,48,284.99,1
06-06-2025,49,396,2
06-06-2025,51,124,1
06-06-2025,52,236,2
06-06-2025,54,879.96,4
06-06-2025,56,353.24,2
06-06-2025,58,-65,-1
06-06-2025,59,0,0
06-06-2025,62,159.99,1
06-06-2025,64,5293.8,56
06-06-2025,65,1280,10
06-06-2025,66,504,3
06-06-2025,83,0,0
06-06-2025,133,0,0
06-06-2025,137,1332,9
06-06-2025,141,178,1
06-06-2025,142,207.02,2
06-06-2025,143,0,0
06-06-2025,144,0,0
06-06-2025,146,0,0
06-06-2025,150,588.94,6
06-06-2025,154,1024,8
06-06-2025,160,385.98,2
06-06-2025,161,12469.6,192
06-06-2025,265,0,0
06-06-2025,267,148.5,1
07-06-2025,0,219,1
07-06-2025,4,398,2
07-06-2025,5,97.24,1
07-06-2025,12,178,1
07-06-2025,13,290.99,2
07-06-2025,15,2141.98,16
07-06-2025,17,8212.84,110
07-06-2025,18,1044.77,12
07-06-2025,21,-90.37,-1
07-06-2025,22,718.02,5
07-06-2025,23,1824,8
07-06-2025,24,-298,-1
07-06-2025,25,178,1
07-06-2025,26,575.08,4
07-06-2025,27,8959.44,56
07-06-2025,28,2688,21
07-06-2025,29,3499.65,35
07-06-2025,31,0,0
07-06-2025,33,271.21,1
07-06-2025,34,166.75,1
07-06-2025,38,94,1
07-06-2025,39,159,1
07-06-2025,48,284.99,1
07-06-2025,49,198,1
07-06-2025,51,0,0
07-06-2025,54,0,0
07-06-2025,58,325,5
07-06-2025,61,239.99,1
07-06-2025,62,319.98,2
07-06-2025,64,1994.58,21
07-06-2025,65,128,1
07-06-2025,66,-168,-1
07-06-2025,136,219.99,1
07-06-2025,137,444,3
07-06-2025,139,218,1
07-06-2025,141,178,1
07-06-2025,144,152.99,1
07-06-2025,145,328,1
07-06-2025,146,138,1
07-06-2025,147,158,1
07-06-2025,149,0,0
07-06-2025,150,671.93,7
07-06-2025,151,148,1
07-06-2025,154,757,6
07-06-2025,160,192.99,1
07-06-2025,161,13327.6,206
07-06-2025,267,148.5,1
07-06-2025,266,218,1
08-06-2025,3,473.4,3
08-06-2025,4,796,4
08-06-2025,12,712,4
08-06-2025,15,1745.01,14
08-06-2025,17,7872.9,105
08-06-2025,18,1189.72,14
08-06-2025,21,-20.78,0
08-06-2025,22,828,6
08-06-2025,23,1368,6
08-06-2025,24,1192,4
08-06-2025,25,178,1
08-06-2025,26,740,5
08-06-2025,27,8159.49,51
08-06-2025,28,4096,32
08-06-2025,29,2599.74,26
08-06-2025,31,390.9,2
08-06-2025,33,542.42,2
08-06-2025,38,-94,-1
08-06-2025,44,350,2
08-06-2025,49,198,1
08-06-2025,59,65,1
08-06-2025,64,2682.76,27
08-06-2025,65,1408,11
08-06-2025,66,168,1
08-06-2025,79,48.4,1
08-06-2025,133,258,1
08-06-2025,136,219.99,1
08-06-2025,137,888,6
08-06-2025,142,119,1
08-06-2025,147,158,1
08-06-2025,148,217.98,2
08-06-2025,150,863.91,9
08-06-2025,154,128,1
08-06-2025,161,12220,188
08-06-2025,264,168,1
08-06-2025,265,258,1
08-06-2025,268,258,1
09-06-2025,0,219,1
09-06-2025,3,0,0
09-06-2025,4,597,3
09-06-2025,5,0,0
09-06-2025,6,384.99,1
09-06-2025,12,356,2
09-06-2025,13,0,0
09-06-2025,14,0,0
09-06-2025,15,2422.1,19
09-06-2025,17,5492.6,73
09-06-2025,18,874.81,10
09-06-2025,19,118,1
09-06-2025,21,6263.58,74
09-06-2025,22,799.98,6
09-06-2025,23,1596,7
09-06-2025,24,894,3
09-06-2025,25,493.22,3
09-06-2025,26,1476.64,10
09-06-2025,27,8479.47,53
09-06-2025,28,3072,24
09-06-2025,29,2799.72,28
09-06-2025,31,195.45,1
09-06-2025,33,1083.79,4
09-06-2025,34,0,0
09-06-2025,38,94,1
09-06-2025,39,0,0
09-06-2025,43,269.56,2
09-06-2025,44,175,1
09-06-2025,45,174.99,1
09-06-2025,48,0,0
09-06-2025,49,396,2
09-06-2025,52,0,0
09-06-2025,56,0,0
09-06-2025,58,-130,-2
09-06-2025,59,0,0
09-06-2025,61,239.99,1
09-06-2025,62,155.23,1
09-06-2025,64,2988.39,30
09-06-2025,65,896,7
09-06-2025,66,0,0
09-06-2025,78,92,2
09-06-2025,133,243.99,1
09-06-2025,136,219.99,1
09-06-2025,137,888,6
09-06-2025,139,0,0
09-06-2025,141,356,2
09-06-2025,142,119,1
09-06-2025,144,152.99,1
09-06-2025,145,0,0
09-06-2025,146,138,1
09-06-2025,147,0,0
09-06-2025,148,108.99,1
09-06-2025,149,218,1
09-06-2025,150,383.96,4
09-06-2025,151,0,0
09-06-2025,154,384,3
09-06-2025,160,0,0
09-06-2025,161,9737,150
09-06-2025,264,0,0
09-06-2025,265,0,0
09-06-2025,268,0,0
09-06-2025,267,0,0
09-06-2025,266,0,0
10-06-2025,0,289,1
10-06-2025,1,185.65,1
10-06-2025,3,1014,6
10-06-2025,4,199,1
10-06-2025,5,97.24,1
10-06-2025,6,0,0
10-06-2025,12,178,1
10-06-2025,14,433.33,1
10-06-2025,15,4672.37,36
10-06-2025,17,4130.37,55
10-06-2025,18,-424.9,-5
10-06-2025,19,0,0
10-06-2025,21,7354.58,88
10-06-2025,22,1239.9,10
10-06-2025,23,1368,6
10-06-2025,24,607.99,2
10-06-2025,25,356,2
10-06-2025,26,2806.96,19
10-06-2025,27,6719.58,42
10-06-2025,28,3968,31
10-06-2025,29,2499.75,25
10-06-2025,30,274,1
10-06-2025,32,198,1
10-06-2025,33,1080.64,4
10-06-2025,38,188,2
10-06-2025,43,0,0
10-06-2025,44,0,0
10-06-2025,45,0,0
10-06-2025,48,0,0
10-06-2025,49,0,0
10-06-2025,52,236,2
10-06-2025,58,-130,-2
10-06-2025,59,780,12
10-06-2025,61,0,0
10-06-2025,64,2656.47,28
10-06-2025,65,768,6
10-06-2025,66,504,3
10-06-2025,78,0,0
10-06-2025,133,243.99,1
10-06-2025,136,0,0
10-06-2025,137,444,3
10-06-2025,141,0,0
10-06-2025,144,0,0
10-06-2025,145,328,1
10-06-2025,146,0,0
10-06-2025,148,0,0
10-06-2025,149,0,0
10-06-2025,150,1330.79,15
10-06-2025,154,128,1
10-06-2025,160,579.48,3
10-06-2025,161,6234.8,96
10-06-2025,165,97.99,1
10-06-2025,248,189.98,2
10-06-2025,265,516,2
11-06-2025,0,876,4
11-06-2025,1,199.99,1
11-06-2025,3,507,3
11-06-2025,4,398,2
11-06-2025,5,0,0
11-06-2025,7,185.99,1
11-06-2025,12,178,1
11-06-2025,13,0,0
11-06-2025,15,5888,46
11-06-2025,17,3174.17,41
11-06-2025,18,934.78,11
11-06-2025,21,11490.32,144
11-06-2025,22,1740.86,14
11-06-2025,23,2052,9
11-06-2025,24,298,1
11-06-2025,25,178,1
11-06-2025,26,1920.64,13
11-06-2025,27,5431.92,34
11-06-2025,28,2688,21
11-06-2025,29,3644.75,37
11-06-2025,30,274,1
11-06-2025,31,195.45,1
11-06-2025,32,198,1
11-06-2025,33,0,0
11-06-2025,38,0,0
11-06-2025,49,198,1
11-06-2025,52,0,0
11-06-2025,58,130,2
11-06-2025,59,0,0
11-06-2025,64,2643.98,28
11-06-2025,65,896,7
11-06-2025,66,672,4
11-06-2025,133,487.98,2
11-06-2025,136,219.99,1
11-06-2025,137,148,1
11-06-2025,139,218,1
11-06-2025,141,0,0
11-06-2025,142,476,4
11-06-2025,145,328,1
11-06-2025,148,539.52,5
11-06-2025,149,423.98,2
11-06-2025,150,479.95,5
11-06-2025,154,512,4
11-06-2025,160,0,0
11-06-2025,161,390,6
11-06-2025,269,212.21,1
11-06-2025,265,0,0
12-06-2025,0,219,1
12-06-2025,1,199.99,1
12-06-2025,3,1014,6
12-06-2025,4,597,3
12-06-2025,12,712,4
12-06-2025,15,8188.17,64
12-06-2025,17,7155.66,96
12-06-2025,18,1019.76,12
12-06-2025,21,19400.38,242
12-06-2025,22,1601.82,13
12-06-2025,23,1441.98,6
12-06-2025,24,1169.36,4
12-06-2025,26,1167.08,8
12-06-2025,27,7801.28,49
12-06-2025,28,5632,44
12-06-2025,29,3299.67,33
12-06-2025,30,548,2
12-06-2025,31,195.45,1
12-06-2025,32,396,2
12-06-2025,33,270.16,1
12-06-2025,34,208,1
12-06-2025,39,477,3
12-06-2025,43,539.12,4
12-06-2025,48,284.99,1
12-06-2025,51,248,2
12-06-2025,54,219.99,1
12-06-2025,58,65,1
12-06-2025,59,65,1
12-06-2025,64,5198.02,55
12-06-2025,65,256,2
12-06-2025,66,1008,6
12-06-2025,133,0,0
12-06-2025,136,219.99,1
12-06-2025,137,1480,10
12-06-2025,139,0,0
12-06-2025,142,119,1
12-06-2025,143,659.98,2
12-06-2025,144,305.98,2
12-06-2025,145,0,0
12-06-2025,147,158,1
12-06-2025,148,326.97,3
12-06-2025,149,0,0
12-06-2025,150,479.95,5
12-06-2025,153,436,2
12-06-2025,154,512,4
12-06-2025,161,3423.04,52
12-06-2025,254,359.92,2
12-06-2025,265,516,2
13-06-2025,0,876,4
13-06-2025,1,0,0
13-06-2025,3,676,4
13-06-2025,4,796,4
13-06-2025,10,638,2
13-06-2025,12,1271.94,6
13-06-2025,14,866.66,2
13-06-2025,15,18342.88,148
13-06-2025,17,9049.68,122
13-06-2025,18,1019.76,12
13-06-2025,21,46654.18,604
13-06-2025,22,4435.62,36
13-06-2025,23,6813.96,30
13-06-2025,24,596,2
13-06-2025,25,0,0
13-06-2025,26,2072,14
13-06-2025,27,16242.52,102
13-06-2025,28,7424,58
13-06-2025,29,5580.6,56
13-06-2025,30,0,0
13-06-2025,31,1563.6,8
13-06-2025,32,396,2
13-06-2025,33,2161.28,8
13-06-2025,34,0,0
13-06-2025,38,188,2
13-06-2025,39,1590,10
13-06-2025,43,2156.48,16
13-06-2025,49,855.98,4
13-06-2025,51,0,0
13-06-2025,54,351.98,2
13-06-2025,58,-177.58,-2
13-06-2025,59,260,4
13-06-2025,64,4938.96,52
13-06-2025,65,1536,12
13-06-2025,66,1344,8
13-06-2025,133,487.98,2
13-06-2025,136,467.48,2
13-06-2025,137,1776,12
13-06-2025,141,1068,6
13-06-2025,142,476,4
13-06-2025,143,0,0
13-06-2025,144,0,0
13-06-2025,145,656,2
13-06-2025,147,316,2
13-06-2025,148,217.98,2
13-06-2025,149,847.96,4
13-06-2025,150,2687.72,28
13-06-2025,153,0,0
13-06-2025,154,2048,16
13-06-2025,160,386.32,2
13-06-2025,161,2030.72,32
13-06-2025,269,424.42,2
13-06-2025,265,516,2
14-06-2025,0,0,0
14-06-2025,3,-270.8,-2
14-06-2025,4,1990,10
14-06-2025,11,367.98,2
14-06-2025,12,-423.98,-2
14-06-2025,14,866.66,2
14-06-2025,15,11184.74,88
14-06-2025,17,11268.22,156
14-06-2025,18,849.8,10
14-06-2025,21,29065.82,350
14-06-2025,22,4451.56,36
14-06-2025,23,1368,6
14-06-2025,24,3003.98,10
14-06-2025,25,356,2
14-06-2025,26,3814.44,26
14-06-2025,27,12799.2,80
14-06-2025,28,6912,54
14-06-2025,29,7399.26,74
14-06-2025,32,792,4
14-06-2025,33,540.32,2
14-06-2025,34,416,2
14-06-2025,38,0,0
14-06-2025,39,318,2
14-06-2025,43,0,0
14-06-2025,44,350,2
14-06-2025,45,308,2
14-06-2025,49,0,0
14-06-2025,58,-130,-2
14-06-2025,64,5698.8,60
14-06-2025,65,837.48,6
14-06-2025,66,0,0
14-06-2025,133,0,0
14-06-2025,136,0,0
14-06-2025,137,665.98,4
14-06-2025,141,0,0
14-06-2025,142,238,2
14-06-2025,144,917.94,6
14-06-2025,148,0,0
14-06-2025,149,423.98,2
14-06-2025,150,959.9,10
14-06-2025,154,492,4
14-06-2025,161,1170,18
14-06-2025,254,0,0
14-06-2025,266,436,2
